user,user2int,lec,#run,#action,err_incomplete,err_without_ct,err_etc
2qb3qmNY,13833,409,4,14,1,1,1
mNh2ibJp,13834,409,1,6,0,0,0
XjEslATh,13835,409,1,19,0,0,0
gN4YZx4n,13836,409,1,6,0,0,0
cuuKgVTH,13837,409,2,16,0,0,1
yIBpRn2v,13838,409,4,18,0,0,2
93rr4qJl,13839,409,1,7,0,0,0
pGQYMcNL,13840,409,2,16,0,0,1
bX7GGJEC,13841,409,9,16,0,0,6
V66Tfc06,13842,409,2,12,0,0,0
XC1dPJGd,13843,409,1,7,0,0,0
QoZbqH6Y,13844,409,3,7,0,0,1
EboRZYy7,13845,409,1,8,0,0,0
FeQxwGil,13846,409,1,6,0,0,0
3ZHiebku,13847,409,1,6,0,0,0
NFiG1kBF,13848,409,5,23,2,1,1
Q1TesSAy,13849,409,3,20,0,0,2
bal2ut6y,13850,409,1,6,0,0,0
mMxpDQ1g,13851,409,8,36,0,0,7
27gsE73G,13852,409,1,6,0,0,0
gMOZ7PrO,13853,409,1,8,0,0,0
oviAw6Br,13854,409,1,6,0,0,0
KPWTTtkK,13855,409,1,7,0,0,0
XZwLKyV8,13856,409,1,6,0,0,0
vjzTTQeb,13857,409,2,7,0,0,0
uQRJtGRQ,13858,409,1,7,0,0,0
4Vbw8ykY,13859,409,10,34,1,0,4
CusrEWmd,13860,409,1,7,0,0,0
jV8H5ng5,13861,409,1,6,0,0,0
MeELLXnr,13862,409,3,12,0,0,1
RRX90lLu,13863,409,1,10,0,0,0
eilVLG3H,13864,409,1,6,0,0,0
36PlRNm1,13865,409,1,6,0,0,0
S1lI8CKU,13866,409,2,32,0,1,0
FzsxDBoj,13867,409,3,21,0,0,2
fhftXOI7,13868,409,10,28,0,0,8
sY2zMv6H,13869,409,7,22,0,1,5
ABjF0IrA,13870,409,18,59,8,1,8
KiScDJsG,13871,409,1,8,0,0,0
xFhs3M9k,13872,409,7,14,0,1,4
3Jtl5SWK,13873,409,1,6,0,0,0
4jwCN4Mg,13874,409,9,23,0,0,8
I9ec0Rw4,13875,409,2,6,1,0,0
V7nsoL9E,13876,409,2,6,0,0,0
GyKAXDOz,13877,409,28,105,0,0,22
udsO4pma,13879,409,1,6,0,0,0
Ts148RoS,13880,409,5,28,0,0,2
7CrxGKQO,13881,409,4,28,0,0,3
BszvohS7,13882,409,1,12,0,0,0
OnsSRaNy,13883,409,9,28,0,0,8
dabER2Cv,13884,409,3,18,0,0,2
yWmBiocs,13885,409,6,43,0,0,5
XErGJ8H9,13886,409,14,36,0,0,11
Aa1Ig7q1,13887,409,3,6,0,0,2
Soqp0Poq,13888,409,3,11,1,0,1
B43Lg9C8,13889,409,7,36,0,0,6
lY6VP4Uu,13890,409,28,107,5,4,15
ZgAoet3o,13891,409,11,40,0,1,8
PRiZkxEe,13892,409,7,26,0,0,6
EvHDqcxa,13893,409,1,6,0,0,0
Le5LOYox,13894,409,3,11,0,1,1
NqFJYvm1,13895,409,1,6,0,0,0
NbdHjE9g,13896,409,2,8,0,0,1
JpSL111z,13897,409,1,10,0,0,0
70LjW65x,13899,409,3,12,0,0,2
KXPGVmSR,13900,409,2,6,1,0,0
O2vME9o7,13901,409,4,20,2,0,1
fJEZPmgz,13902,409,7,22,0,1,5
oqkBSuCa,13903,409,6,17,0,0,5
95Hz0mrr,13904,409,1,6,0,0,0
zc4oSRtW,13905,409,6,12,2,2,0
ROR2RKFV,13906,409,1,9,0,0,0
DpSX0DrF,13907,409,1,6,0,0,0
ozXE1zPJ,13908,409,8,87,1,0,6
NTwKwK3k,13909,409,5,12,0,0,4
u2LWZaOs,13910,409,1,6,0,0,0
CqMVsVuS,13911,409,1,12,0,0,0
7LUBtU9Z,13912,409,1,6,0,0,0
mHz6WBia,13913,409,1,7,0,0,0
9npzy4Ye,13914,409,21,89,0,1,15
sGKsGueR,13915,409,3,11,0,0,2
hapNiZRQ,13916,409,2,7,0,0,1
GdVw36mM,13917,409,1,8,0,0,0
LItLqXdx,13918,409,3,13,0,1,1
63p32p2a,13919,409,2,6,0,0,0
yf8Q2g98,13920,409,1,6,0,0,0
wCegDr2p,13921,409,1,12,0,0,0
R2JeWaBY,13922,409,1,6,0,0,0
CB41ShWN,13923,409,3,15,0,0,2
NUmegnGi,13924,409,1,6,0,0,0
Bhz7HgST,13925,409,12,47,0,0,8
GQovatrX,13926,409,1,6,0,0,0
CmU2PBsC,13927,409,2,9,1,0,0
LwExavv1,13929,409,3,10,2,0,0
2X7LsF96,13930,409,2,7,0,0,1
3tDyGFoP,13931,409,10,49,0,0,9
YAgbYYzn,13932,409,5,29,0,1,3
7uwxSLhr,13933,409,2,8,0,0,1
Aah8c2mG,13935,409,1,6,0,0,0
spwMrcDK,13936,409,1,6,0,0,0
qQWJWcDe,13937,409,23,55,2,0,20
ZOItvJdd,13938,409,2,6,0,0,1
mY31wFKe,13939,409,1,6,0,0,0
LvRg2PvQ,13940,409,9,34,0,0,8
LczqejjU,13941,409,4,22,0,0,3
Gungfacf,13942,409,4,16,0,0,3
