user,user2int,lec,#runs,#actions,~5,5~10,10~30,30~60,60~
FaYnhOyI,2258,409,2,12,0,1,0,0,0
AvDgjer2,2259,409,1,10,0,0,0,0,0
EJwGeEvx,2260,409,1,6,0,0,0,0,0
96FabnTX,2261,409,3,22,1,0,1,0,0
yYY8Fpvu,2262,409,2,19,0,0,1,0,0
C0hzrRgj,2263,409,1,14,0,0,0,0,0
ZJLs61Kd,2264,409,1,6,0,0,0,0,0
JnUnbzzp,2265,409,1,6,0,0,0,0,0
XoVssb3I,2266,409,1,6,0,0,0,0,0
6lz7uxfN,2267,409,1,6,0,0,0,0,0
cLVQKFPd,2268,409,7,30,2,1,2,1,0
jZLtaKFF,2269,409,1,6,0,0,0,0,0
NwZCkLgE,2270,409,1,6,0,0,0,0,0
Js4eqOxS,2271,409,4,15,1,0,1,1,0
tbYJANyu,2272,409,1,6,0,0,0,0,0
MdYBWnDp,2273,409,1,6,0,0,0,0,0
4I4tXtFP,2274,409,1,6,0,0,0,0,0
FyN5VAbk,2275,409,6,21,0,2,2,1,0
ht0i80Tb,2276,409,1,6,0,0,0,0,0
vNlAzE8z,2277,409,1,11,0,0,0,0,0
jOvSiGmI,2278,409,2,8,1,0,0,0,0
hmMVJ4ZS,2279,409,1,6,0,0,0,0,0
SVf5GEga,2280,409,3,16,0,1,1,0,0
8rsW5Cd3,2281,409,1,8,0,0,0,0,0
2pZW4w29,2282,409,1,7,0,0,0,0,0
5A2UMu2j,2283,409,1,8,0,0,0,0,0
jCCg00pM,2284,409,1,10,0,0,0,0,0
ErpmopBJ,2285,409,1,6,0,0,0,0,0
ZorNPSN0,2286,409,1,6,0,0,0,0,0
TZQyQYRL,2287,409,0,0,0,0,0,0,0
ekCDYbb5,2288,409,3,8,0,1,1,0,0
KC53h0Gz,2289,409,1,8,0,0,0,0,0
kMBCtLl4,2290,409,1,6,0,0,0,0,0
XL6vb3A2,2291,409,1,7,0,0,0,0,0
CeBeh4f2,2292,409,0,0,0,0,0,0,0
DC8Yh4AK,2293,409,1,6,0,0,0,0,0
xwKR24A2,2294,409,2,6,1,0,0,0,0
A3Ty1BXJ,2295,409,1,6,0,0,0,0,0
KUnRHAJx,2296,409,1,6,0,0,0,0,0
i7woo2mL,2297,409,1,6,0,0,0,0,0
LXXoU3Tr,2298,409,13,38,4,2,3,3,0
rP06Nvdn,2299,409,1,7,0,0,0,0,0
pSR4YUcz,2300,409,16,38,5,2,5,2,1
wykwHRTm,2301,409,1,6,0,0,0,0,0
trbIrhHp,2302,409,1,7,0,0,0,0,0
sVIUMAed,2303,409,1,6,0,0,0,0,0
YI3ph35q,2304,409,2,7,1,0,0,0,0
VERPptKI,2305,409,1,6,0,0,0,0,0
tcHQdUAy,2306,409,3,13,1,0,1,0,0
Zd2XjiiR,2307,409,2,8,0,0,1,0,0
jqVFwqIA,2308,409,3,13,1,0,1,0,0
zZtmQfEl,2309,409,2,8,0,0,1,0,0
hTHJzNZI,2310,409,1,7,0,0,0,0,0
ZPQ8I4tE,2311,409,1,6,0,0,0,0,0
8paLuUMF,2312,409,1,6,0,0,0,0,0
YXXyjgPi,2313,409,2,7,1,0,0,0,0
P1hKf2fj,2314,409,1,6,0,0,0,0,0
CbnnA6ZI,2315,409,3,12,1,0,0,1,0
gHTUMljg,2316,409,1,6,0,0,0,0,0
yCjZFtE5,2317,409,2,7,1,0,0,0,0
ZyI537qP,2318,409,1,7,0,0,0,0,0
WSVT9p1z,2319,409,2,9,0,1,0,0,0
CbKNrTY5,2320,409,1,6,0,0,0,0,0
wWB9z6rM,2321,409,0,0,0,0,0,0,0
qOk9y4tG,2322,409,2,9,0,0,1,0,0
dkHBBwKY,2323,409,2,6,0,0,1,0,0
lbyHw1Dt,2324,409,1,2,0,0,0,0,0
Z4lAjNUL,2325,409,2,7,0,0,1,0,0
ecNsCCTe,2326,409,2,14,0,0,1,0,0
XWG0aHlD,2327,409,2,7,1,0,0,0,0
xA7eTBQY,2328,409,1,6,0,0,0,0,0
LxoaWRDy,2329,409,1,13,0,0,0,0,0
kEAwlB51,2330,409,1,6,0,0,0,0,0
u0o4Bfw6,2331,409,9,17,0,0,8,0,0
XW8lTZt5,2332,409,1,6,0,0,0,0,0
ziPqD6MZ,2333,409,2,22,0,0,1,0,0
AS0yPb05,2334,409,1,8,0,0,0,0,0
6tEadhAH,2335,409,3,20,1,0,0,1,0
Y2okUu6u,2336,409,2,7,0,0,1,0,0
6ziCjsbB,2337,409,5,13,1,1,2,0,0
DgOeNYEi,2338,409,1,6,0,0,0,0,0
vMDVjsmj,2339,409,3,9,0,0,1,1,0
5ejnwYhp,2340,409,3,16,1,0,1,0,0
sh3WudyZ,2341,409,1,8,0,0,0,0,0
g2OUpBTU,2342,409,3,12,0,0,2,0,0
u7eFPx0Y,2343,409,8,52,1,2,3,0,1
ylm9HxS8,2344,409,2,8,0,0,1,0,0
hsy16aCd,2345,409,1,6,0,0,0,0,0
9MZWZPeu,2346,409,2,7,0,1,0,0,0
XeM8map6,2347,409,1,6,0,0,0,0,0
yZs9VPx3,2348,409,10,41,1,0,6,1,1
4yZ5IE02,2349,409,1,7,0,0,0,0,0
qQRqMWlc,2350,409,7,52,0,0,4,1,1
D7ot3Kxs,2351,409,2,15,0,0,1,0,0
jusFE1nG,2352,409,1,6,0,0,0,0,0
OTaUokQZ,2353,409,3,8,1,1,0,0,0
9DDhjL8D,2354,409,1,7,0,0,0,0,0
naU1CzL3,2355,409,1,6,0,0,0,0,0
Tw1WBMbV,2356,409,1,8,0,0,0,0,0
ylcLQnfE,2357,409,2,8,0,1,0,0,0
3WDRXYhO,2358,409,2,7,1,0,0,0,0
A4PPNrUH,2359,409,1,7,0,0,0,0,0
juptO7Dt,2360,409,5,24,1,0,1,0,2
MSvH1liB,2361,409,1,6,0,0,0,0,0
fIyEhyCW,2362,409,1,12,0,0,0,0,0
r1Yl8T3p,2363,409,1,6,0,0,0,0,0
MJIEGheu,2364,409,1,6,0,0,0,0,0
SsTo2o5T,2365,409,1,6,0,0,0,0,0
2ijAlOcd,2366,409,3,13,1,0,0,1,0
ZfdwZW7n,2367,409,2,7,1,0,0,0,0
gSIwI8c3,2368,409,1,6,0,0,0,0,0
ylGDp6oo,2369,409,7,37,0,0,4,1,1
J5qhnBLM,2370,409,2,25,0,0,1,0,0
63qoNGL6,2371,409,2,12,0,0,1,0,0
DiMaYm6Y,2372,409,1,6,0,0,0,0,0
Jjynsdhd,2373,409,2,9,0,0,1,0,0
ocDohMJA,2374,409,2,7,0,0,1,0,0
6QEV5HmV,2375,409,1,6,0,0,0,0,0
40XdBFMK,2376,409,4,7,1,1,1,0,0
yiRyouA5,2377,409,3,14,0,1,1,0,0
d0Aqxa0G,2378,409,5,17,0,0,4,0,0
nq0ddEY2,2379,409,2,19,0,0,0,0,1
kV7bjY7b,2380,409,1,6,0,0,0,0,0
B0m74aUo,2381,409,1,7,0,0,0,0,0
rpclLufH,2382,409,1,6,0,0,0,0,0
rpXkGhIk,2383,409,1,6,0,0,0,0,0
ugKzNzVK,2384,409,1,6,0,0,0,0,0
de386Vkc,2385,409,1,18,0,0,0,0,0
th0QnK3A,2386,409,11,24,2,3,5,0,0
RD0v18qh,2387,409,1,12,0,0,0,0,0
uq5sCKsm,2388,409,1,8,0,0,0,0,0
xO3Ta1Y6,2389,409,1,6,0,0,0,0,0
2lN0rpdv,2390,409,1,6,0,0,0,0,0
0VnduczZ,2391,409,1,6,0,0,0,0,0
NPAiexH7,2392,409,2,8,0,1,0,0,0
XrN1nRlQ,2393,409,3,9,0,0,2,0,0
zpAXLtz9,2394,409,1,6,0,0,0,0,0
gQMXcXC0,2395,409,3,14,0,1,1,0,0
3Lpslvwo,2396,409,1,8,0,0,0,0,0
FpBK28tk,2397,409,1,6,0,0,0,0,0
y9okcacr,2398,409,1,7,0,0,0,0,0
ak7Sv7th,2399,409,3,7,1,1,0,0,0
2kFI7Ns6,2400,409,1,6,0,0,0,0,0
O3yl4BJG,2401,409,2,14,1,0,0,0,0
i6JkyGQn,2402,409,4,11,1,1,0,1,0
FU96UcIh,2403,409,2,7,0,1,0,0,0
ttTfq54D,2404,409,1,6,0,0,0,0,0
iatAW5VM,2405,409,17,51,4,2,8,2,0
eImXvj1x,2406,409,1,6,0,0,0,0,0
EkYcYC07,2407,409,1,6,0,0,0,0,0
LkVfTqp7,2408,409,1,6,0,0,0,0,0
MduzHfAH,2409,409,1,6,0,0,0,0,0
p3w7TMv2,2410,409,1,6,0,0,0,0,0
5D8RdbLA,2411,409,52,13,47,2,1,1,0
6KaB1vOp,2412,409,1,6,0,0,0,0,0
nUUPjgev,2413,409,1,7,0,0,0,0,0
VXN8zQJG,2414,409,1,6,0,0,0,0,0
K6MDFLWH,2415,409,1,7,0,0,0,0,0
qb5RMN5s,2416,409,3,13,0,0,2,0,0
IoER5EEm,2417,409,40,103,9,11,14,3,2
5Gbasat9,2418,409,1,6,0,0,0,0,0
FdNAYKWS,2419,409,1,6,0,0,0,0,0
aWGp2Oun,2420,409,3,16,1,0,1,0,0
NA4Trc9Z,2421,409,3,8,1,0,0,1,0
HkIyk31i,2422,409,1,6,0,0,0,0,0
DHm8Zul1,2423,409,1,6,0,0,0,0,0
1H01LJjd,2424,409,2,9,0,1,0,0,0
jidgjheE,2425,409,38,93,18,4,6,6,3
j7FEFeje,2426,409,1,6,0,0,0,0,0
LBLfz1DN,2427,409,1,6,0,0,0,0,0
Atx3jNLs,2428,409,5,14,3,0,1,0,0
pp4mcNy7,2429,409,5,18,1,1,1,1,0
L8sECOy1,2430,409,1,6,0,0,0,0,0
XEIMQiUn,2431,409,1,6,0,0,0,0,0
PQWX2sxR,2432,409,4,17,0,1,2,0,0
VT2KKRcR,2433,409,4,10,1,0,2,0,0
Suh06VkL,2434,409,1,6,0,0,0,0,0
Dk35oEOy,2435,409,1,7,0,0,0,0,0
vxlXoRvl,2436,409,1,6,0,0,0,0,0
nMKgQd55,2437,409,1,7,0,0,0,0,0
jloNn1X2,2438,409,1,6,0,0,0,0,0
VYALsjMs,2439,409,2,9,0,1,0,0,0
s6Q9CxsQ,2440,409,1,6,0,0,0,0,0
RDAnNSPF,2441,409,1,7,0,0,0,0,0
DmIhLWUV,2442,409,1,6,0,0,0,0,0
xLMk4cSn,2443,409,1,6,0,0,0,0,0
UxFndYvV,2444,409,1,7,0,0,0,0,0
7lrfWPPI,2445,409,2,7,0,1,0,0,0
Tt2FYedF,2446,409,2,8,0,1,0,0,0
vifPoLKJ,2447,409,5,11,1,1,2,0,0
QyjiD6Po,2448,409,1,6,0,0,0,0,0
l9e2fZ4K,2449,409,1,6,0,0,0,0,0
ZFLvZ7LL,2450,409,0,0,0,0,0,0,0
MAMnhWKu,2451,409,1,7,0,0,0,0,0
k9BsttfJ,2452,409,2,8,0,1,0,0,0
MfOVK7m6,2453,409,1,6,0,0,0,0,0
Fw7Wenrm,2454,409,1,6,0,0,0,0,0
JO80Nihf,2455,409,1,6,0,0,0,0,0
gRrtqMOl,2456,409,3,6,1,1,0,0,0
sdW2vUyA,2457,409,1,10,0,0,0,0,0
mCbm76KA,2458,409,1,6,0,0,0,0,0
08cr3H3S,2459,409,9,27,1,0,5,1,1
ZlBsnnUH,2460,409,5,14,0,1,3,0,0
urblpneE,2461,409,1,6,0,0,0,0,0
kKqhNH65,2462,409,1,9,0,0,0,0,0
6zZnJy40,2463,409,1,6,0,0,0,0,0
nh2PAnhA,2464,409,1,6,0,0,0,0,0
5w2pIrrX,2465,409,1,6,0,0,0,0,0
wX1Teq6o,2466,409,1,6,0,0,0,0,0
A9473O3j,2467,409,1,6,0,0,0,0,0
SNiZkR94,2468,409,1,8,0,0,0,0,0
dG1abFkw,2469,409,1,6,0,0,0,0,0
WboudslQ,2470,409,1,7,0,0,0,0,0
62gNPj5G,2471,409,4,28,1,0,1,1,0
IdBnbazB,2472,409,2,12,1,0,0,0,0
cdYdSQn4,2473,409,1,6,0,0,0,0,0
F9th62ih,2474,409,1,6,0,0,0,0,0
vJ1mTQUq,2475,409,1,11,0,0,0,0,0
lAuAmFyy,2476,409,1,6,0,0,0,0,0
0hl36yB6,2477,409,3,9,0,0,2,0,0
u4CRZRAj,2478,409,1,11,0,0,0,0,0
NNErsM0y,2479,409,1,6,0,0,0,0,0
ItJOIlwm,2480,409,2,8,0,0,1,0,0
nZoJvLrP,2481,409,1,16,0,0,0,0,0
idaxff0k,2482,409,6,13,0,0,4,1,0
q0BWXcLH,2483,409,44,112,10,1,24,7,1
p2BSeB9S,2484,409,2,7,0,0,1,0,0
vdynDucK,2485,409,2,6,0,1,0,0,0
pnjkn5ak,2486,409,1,6,0,0,0,0,0
G6Diirmr,2487,409,1,6,0,0,0,0,0
lLuJ1waG,2488,409,5,18,1,0,3,0,0
ZsRDmdUF,2489,409,1,14,0,0,0,0,0
sZIMIoad,2490,409,1,7,0,0,0,0,0
qn5jO1Dc,2491,409,5,40,0,0,0,4,0
pMfCVkNm,2492,409,2,7,0,0,1,0,0
u8hBbWrV,2493,409,1,6,0,0,0,0,0
VASKStNl,2494,409,7,21,2,1,3,0,0
ycMKSakz,2495,409,0,0,0,0,0,0,0
gPUQ8N7n,2496,409,1,6,0,0,0,0,0
3Jddi8rb,2497,409,17,49,1,4,8,3,0
6L6CYRqx,2498,409,1,6,0,0,0,0,0
nznylZoY,2499,409,3,9,0,0,2,0,0
mISHoA2m,2500,409,14,45,4,0,5,4,0
47NOyJWb,2501,409,2,6,0,0,1,0,0
vHI1NZMx,2502,409,11,29,2,1,5,2,0
PMrYadyK,2503,409,1,6,0,0,0,0,0
49tiNRqB,2504,409,4,17,0,1,1,1,0
iQqfQzFd,2505,409,1,6,0,0,0,0,0
eKktYrSz,2506,409,3,8,1,0,1,0,0
FmhrgjBN,2507,409,5,31,0,0,2,2,0
UJD7PBt4,2508,409,1,6,0,0,0,0,0
ob1e3AiE,2509,409,23,81,5,5,7,3,2
gbJyj2LW,2510,409,2,16,0,0,1,0,0
tZMKE0OX,2511,409,1,7,0,0,0,0,0
zeOJDwgz,2512,409,2,8,1,0,0,0,0
LYFq4lsc,2513,409,6,21,0,0,3,1,1
sPUCYAy6,2514,409,4,13,0,1,2,0,0
v4hfAdrQ,2515,409,1,6,0,0,0,0,0
zGjYycjB,2516,409,5,20,2,0,1,1,0
ltOI0ezz,2517,409,3,11,1,0,0,0,1
GzsBhdL7,2518,409,1,6,0,0,0,0,0
F75tnQ7Y,2519,409,2,7,0,0,1,0,0
BcnAzylb,2520,409,5,36,1,0,1,2,0
HfcG5fgz,2521,409,1,6,0,0,0,0,0
RsH12Yn2,2522,409,1,6,0,0,0,0,0
tDh6SX5K,2523,409,1,6,0,0,0,0,0
AOcq4i31,2524,409,2,6,0,1,0,0,0
CkJ1agNJ,2525,409,2,7,0,1,0,0,0
sozAA61h,2526,409,14,33,2,3,5,3,0
pQvr6iu8,2527,409,3,10,0,2,0,0,0
LdR77BRM,2528,409,1,10,0,0,0,0,0
sPtpyt1e,2529,409,3,27,0,0,0,2,0
FEbnE1mL,2530,409,25,70,5,6,10,3,0
EMYXuOis,2531,409,8,22,3,0,4,0,0
uVQPs59k,2532,409,12,32,4,2,4,1,0
BWb2K3dk,2533,409,1,7,0,0,0,0,0
xk9pRbHn,2534,409,1,15,0,0,0,0,0
HLoeGYVM,2535,409,21,76,2,6,9,3,0
6LqCvQMl,2536,409,4,10,0,1,2,0,0
a8KWkI6Z,2537,409,2,13,0,0,0,0,1
aZ6DsE5J,2538,409,11,41,1,1,6,1,1
2ewxxdy7,2539,409,1,6,0,0,0,0,0
1Q2JAHaM,2540,409,1,14,0,0,0,0,0
5xdA7bXy,2541,409,1,8,0,0,0,0,0
THkLaDI4,2542,409,2,7,0,0,1,0,0
iQnl4Y9R,2543,409,1,6,0,0,0,0,0
9AVmiGi4,2544,409,5,16,3,0,1,0,0
zRAhzc6p,2545,409,1,6,0,0,0,0,0
NYTcn3F3,2546,409,3,9,0,0,2,0,0
vk8mSl7a,2547,409,1,6,0,0,0,0,0
xJaU7p8D,2548,409,4,23,2,0,1,0,0
qZPfiW6D,2549,409,37,112,8,9,17,1,1
zTgtC5lx,2550,409,2,8,0,1,0,0,0
jfU4phol,2551,409,1,7,0,0,0,0,0
6wBgTUWg,2552,409,1,7,0,0,0,0,0
