id,lecture,run,addBlock,insertBlock,moveBlock,seperateBlock,destroyBlock,destroyBlockAlone
2,405,7,10,19,9,7,3,0
2,406,1,1,1,0,0,0,0
2,407,3,4,8,1,3,0,0
2,408,1,4,4,0,0,0,0
2,409,1,6,9,0,0,0,0
3,201,2,3,3,0,1,1,0
3,202,1,2,2,0,0,0,0
3,203,1,3,3,0,0,0,0
3,204,1,3,3,0,0,0,0
3,205,1,3,3,0,0,0,0
3,206,2,4,4,0,0,0,0
3,207,2,4,4,0,0,0,0
3,208,1,7,7,0,0,0,0
3,209,1,6,6,0,0,0,0
3,210,1,8,8,0,0,0,0
3,211,1,1,1,0,0,0,0
3,212,1,2,2,0,0,0,0
3,214,1,3,6,0,0,0,0
3,402,17,15,28,1,9,6,0
3,403,1,2,2,1,1,1,0
3,404,1,2,3,0,2,2,0
3,405,3,6,6,0,1,1,0
3,406,1,4,5,0,1,1,0
3,407,1,4,4,0,0,0,0
3,409,2,6,7,0,0,0,0
4,201,3,4,4,0,0,0,0
4,202,2,4,4,0,0,0,0
4,203,2,6,6,0,0,0,0
4,204,2,6,6,0,0,0,0
4,205,2,6,6,0,0,0,0
4,206,3,9,11,1,1,1,0
4,207,2,8,8,0,0,0,0
4,208,2,14,14,1,0,0,0
4,209,2,12,12,0,0,0,0
4,210,2,16,16,0,0,0,0
4,211,2,2,4,0,0,0,0
4,212,3,6,17,2,2,1,0
4,214,2,6,6,0,0,0,0
4,402,2,3,5,0,0,0,0
4,403,4,2,8,0,4,1,0
4,404,1,2,3,2,1,1,0
4,405,1,1,5,1,3,1,0
4,406,15,27,44,6,15,6,0
4,407,3,8,11,0,0,0,0
4,408,5,8,18,1,3,0,0
4,409,2,12,15,0,1,0,0
5,201,1,2,2,0,0,0,0
5,202,1,2,2,0,0,0,0
5,203,1,3,3,0,0,0,0
5,204,1,3,3,1,0,0,0
5,205,6,8,18,2,7,2,0
5,206,5,9,11,2,2,2,0
5,207,2,4,6,0,1,0,0
5,208,9,16,30,7,16,9,0
5,209,3,8,13,1,5,2,0
5,210,4,9,15,0,4,1,0
5,211,2,1,1,0,0,0,0
5,212,1,2,2,0,0,0,0
5,214,1,3,4,0,0,0,0
5,402,5,4,13,6,6,2,0
5,403,3,2,4,5,4,1,0
5,404,1,1,2,10,3,0,0
5,405,2,1,3,0,0,0,0
5,406,2,2,2,0,1,1,0
5,407,1,4,5,0,0,0,0
5,408,1,4,5,0,0,0,0
5,409,7,6,10,0,1,0,0
6,201,2,4,4,0,0,0,0
6,202,2,4,4,0,0,0,0
6,203,2,6,6,0,0,0,0
6,204,2,6,6,0,0,0,0
6,205,3,8,8,0,1,0,0
6,206,3,11,11,0,1,0,0
6,207,4,12,12,0,4,0,0
6,208,3,20,20,0,1,0,0
6,209,2,12,12,0,0,0,0
6,210,2,16,16,0,0,0,0
6,211,3,5,5,0,0,0,0
6,212,5,8,9,0,4,0,0
6,214,2,9,9,0,3,0,0
6,402,9,18,23,0,4,0,0
6,403,2,3,3,0,1,0,0
7,202,1,2,2,0,0,0,0
7,203,1,3,3,0,0,0,0
7,204,1,3,3,0,0,0,0
7,205,1,3,3,0,0,0,0
7,206,2,5,6,1,2,1,0
7,207,4,8,9,1,1,0,0
7,208,10,25,37,2,6,1,0
7,209,1,6,6,0,0,0,0
7,210,1,9,9,0,1,1,0
7,211,1,1,1,0,0,0,0
7,212,1,2,2,0,0,0,0
7,214,1,5,6,0,0,0,0
7,402,7,10,20,6,8,2,0
7,403,2,5,5,0,3,0,0
7,404,2,3,5,0,1,0,0
7,405,10,13,18,2,10,0,0
7,406,2,2,3,0,1,0,0
7,407,1,4,4,0,0,0,0
7,408,1,4,4,0,0,0,0
7,409,1,7,8,1,1,1,0
8,201,2,2,2,0,0,0,0
8,202,2,2,2,0,0,0,0
8,203,2,3,3,0,0,0,0
8,204,2,3,3,0,0,0,0
8,205,1,3,3,0,0,0,0
8,206,1,4,4,0,0,0,0
8,207,1,4,5,1,1,0,0
8,208,1,7,10,0,0,0,0
8,209,1,6,6,0,0,0,0
8,210,1,9,9,1,1,0,0
8,211,1,1,1,0,0,0,0
8,212,1,2,2,0,0,0,0
8,214,1,3,3,0,0,0,0
8,402,2,4,12,1,4,0,0
8,403,3,1,2,1,1,0,0
