id,lecture,run,addBlock,insertBlock,moveBlock,seperateBlock,destroyBlock,destroyBlockAlone
3,206,2,6,7,1,2,1,0
3,207,3,4,9,0,2,0,0
3,208,1,7,7,0,0,0,0
3,209,1,6,6,0,0,0,0
3,210,1,8,8,0,0,0,0
3,211,1,1,2,0,0,0,0
3,212,1,2,3,0,0,0,0
4,201,2,4,6,0,1,0,0
4,202,1,2,2,0,0,0,0
4,203,1,3,3,0,0,0,0
4,204,1,3,3,0,0,0,0
4,205,5,7,8,0,3,0,0
4,206,1,4,7,0,0,0,0
4,207,5,8,9,0,0,0,0
4,208,2,18,19,3,3,1,0
4,209,1,7,7,0,0,0,0
4,210,1,8,8,0,0,0,0
4,211,1,1,2,0,0,0,0
4,212,1,2,2,0,0,0,0
4,214,1,3,3,0,0,0,0
4,402,3,10,16,3,5,0,0
4,403,2,3,4,0,1,0,0
4,404,2,1,3,0,3,0,0
4,405,3,12,18,1,5,0,0
4,406,1,5,5,0,0,0,0
4,407,1,10,10,0,0,0,0
4,408,6,11,13,0,3,0,0
4,409,14,47,62,3,12,2,0
5,201,1,2,2,0,0,0,0
5,202,2,4,4,0,0,0,0
5,203,1,3,3,0,0,0,0
5,204,1,3,3,0,0,0,0
5,205,1,3,3,0,0,0,0
5,206,1,4,4,0,0,0,0
5,207,2,6,6,0,1,0,0
5,208,2,8,8,0,1,0,0
5,209,1,6,6,0,0,0,0
5,210,1,8,8,0,0,0,0
5,211,2,2,2,0,0,0,0
5,212,2,2,4,0,1,0,0
5,214,2,3,3,0,0,0,0
5,402,2,8,9,0,2,0,0
6,202,2,2,2,0,0,0,0
6,203,1,3,3,0,0,0,0
6,204,2,3,3,0,0,0,0
6,205,1,3,3,0,0,0,0
6,206,8,12,16,5,7,3,0
6,207,1,4,4,0,0,0,0
6,208,1,7,7,0,0,0,0
6,209,1,6,7,0,0,0,0
6,210,1,10,12,0,1,1,0
6,211,3,3,3,0,1,0,0
6,212,1,2,2,0,0,0,0
6,214,1,3,3,0,0,0,0
6,402,5,4,5,0,0,0,0
6,403,1,2,5,0,1,1,0
6,404,1,2,2,0,1,1,0
6,405,2,7,11,0,3,3,0
6,406,1,1,1,0,0,0,0
6,407,1,4,5,0,0,0,0
6,408,1,4,4,0,0,0,0
6,409,2,6,9,0,0,0,0
7,201,1,2,2,0,0,0,0
7,202,1,2,2,0,0,0,0
7,203,1,3,3,0,0,0,0
7,204,1,3,3,0,0,0,0
7,205,1,3,3,0,0,0,0
7,206,1,4,4,0,0,0,0
7,207,2,4,4,0,0,0,0
7,208,2,8,8,0,1,1,0
7,209,1,6,6,0,0,0,0
7,210,1,8,8,0,0,0,0
7,211,1,1,1,0,0,0,0
7,212,2,2,9,1,1,0,0
7,214,2,3,5,0,0,0,0
7,402,6,11,15,1,2,3,0
7,403,1,2,4,0,0,0,0
7,404,1,2,4,1,3,0,0
7,405,4,6,10,0,2,1,0
7,406,1,2,2,0,1,1,0
7,407,1,4,6,0,0,0,0
7,408,1,4,4,0,0,0,0
7,409,1,6,6,0,0,0,0
8,201,1,2,3,0,0,0,0
8,202,1,2,2,0,0,0,0
8,203,1,3,3,0,0,0,0
8,204,1,3,3,0,0,0,0
8,205,2,6,8,1,2,1,0
8,206,8,14,20,6,6,5,0
8,207,4,4,4,0,0,0,0
8,208,7,19,27,2,7,3,0
8,209,1,6,6,0,0,0,0
8,210,1,8,8,0,0,0,0
8,211,1,1,1,0,0,0,0
8,212,1,2,5,0,0,0,0
8,214,1,3,4,0,0,0,0
8,402,5,10,12,0,1,1,0
8,403,2,4,4,1,2,2,0
8,404,5,2,3,1,2,2,0
8,405,8,4,7,0,0,0,0
8,406,1,1,1,0,0,0,0
8,407,2,4,7,0,0,0,0
8,408,2,4,9,0,0,0,0
8,409,2,7,12,0,2,1,0
9,201,1,2,2,0,0,0,0
9,202,1,2,2,0,0,0,0
9,203,1,3,3,0,0,0,0
9,204,1,3,3,0,0,0,0
9,205,1,3,3,0,0,0,0
9,206,1,5,5,0,1,1,0
9,207,1,4,7,0,0,0,0
9,208,1,15,15,0,2,2,0
9,209,1,6,6,0,0,0,0
9,210,1,8,8,0,0,0,0
9,211,1,1,1,0,0,0,0
9,212,1,2,2,0,0,0,0
9,214,1,3,4,0,0,0,0
